Author,FileType,ModificationKind,ChangeCount
Alexander Schwartz,sql,M,1
Falk Sippach,groovy,R,53
Gerd Aschemann,groovy,R,28
Christofer Dutz,jpg,R,18
annam002,groovy,R,14
Alexander Schwartz,groovy,R,14
Falk Sippach,java,R,11
Gerd Aschemann,json,R,8
Dirk Mahler,groovy,R,7
Christofer Dutz,png,R,7
Gerd Aschemann,java,R,6
Christofer Dutz,java,R,4
Falk Sippach,raw,R,4
Dirk Mahler,java,R,4
Alexander Schwartz,java,R,4
Niko Köbler,java,R,4
Falk Sippach,json,R,2
Gerd Aschemann,raml,R,2
Falk Sippach,sql,R,1
Gerd Aschemann,xml,R,1
Falk Sippach,properties,R,1
Gerd Aschemann,sql,R,1
Gerd Aschemann,properties,R,1
