FilePath,ModificationKind,ChangeCount
impl/src/test/java/org/dukecon/server/gui/tag/DetailPageTag.java,A,5
impl/src/test/java/org/dukecon/server/gui/page/DetailsPage.java,A,5
impl/src/main/java/org/dukecon/server/adapter/sched/SchedDataRemote.groovy,M,5
impl/src/test/java/org/dukecon/server/gui/page/AbstractPage.java,A,5
impl/src/test/resources/META-INF/services/org.jboss.arquillian.core.spi.LoadableExtension,A,5
impl/src/selenium/selenium.bat,A,5
impl/src/selenium/README-selenium.md,A,5
impl/src/test/java/org/dukecon/server/util/arquillian/ContextExtension.java,A,5
impl/src/test/java/org/jboss/arquillian/junit/ArquillianClassRule.java,A,5
impl/src/main/resources/db/migration/V1__init.sql,M,5
impl/src/main/java/org/dukecon/server/adapter/doag/DoagSpeakersMapper.groovy,M,5
impl/src/main/resources/javaland-2016.raw,M,5
impl/src/test/java/org/dukecon/server/util/arquillian/ContextRule.java,A,5
impl/src/test/java/org/dukecon/server/gui/stage/ThenStartPage.java,A,5
impl/src/test/java/org/dukecon/server/gui/stage/AbstractStage.java,A,5
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseCsvInput.groovy,M,5
impl/src/test/java/org/dukecon/server/business/MetaDataExtractorSpec.groovy,A,4
impl/src/main/java/org/dukecon/server/conference/JavalandDataProviderHealthIndicator.groovy,A,4
impl/src/main/resources/javaland-2017.raw,M,4
api/src/main/java/org/dukecon/model/user/UserFilters.java,R,4
impl/src/test/java/org/dukecon/server/business/JavalandDataProviderSpec.groovy,A,4
src/main/resources/versioneye.properties,A,4
impl/src/main/resources/demotalks.json,D,4
api/src/main/java/org/dukecon/model/Room.java,A,4
impl/src/test/java/org/dukecon/server/filter/FiltersRepositorySpec.groovy,M,4
api/src/main/resources/versioneye.properties,A,4
GUITESTING.adoc,M,4
impl/src/test/java/org/dukecon/server/herbstcampus/HerbstcampusDataExtractorSpec.groovy,M,4
api/src/main/java/org/dukecon/model/user/UserPreference.java,R,4
impl/src/main/java/org/dukecon/server/adapter/sched/SchedJsonMapper.groovy,M,4
impl/src/test/java/org/dukecon/server/conference/SliceEventHelperSpec.groovy,M,4
impl/src/main/java/org/dukecon/server/business/TalkProvider.groovy,D,4
impl/src/main/java/org/dukecon/server/business/PreferencesRepository.groovy,M,4
impl/src/test/java/org/dukecon/server/conference/adpater/doag/DoagSpeakerMapperSpec.groovy,M,4
impl/src/main/resources/versioneye.properties,A,4
impl/src/test/resources/conferences-test.yml,M,4
impl/src/main/java/org/dukecon/server/service/FiltersService.groovy,M,4
impl/src/test/java/org/dukecon/server/conference/JavalandDataProviderHealthIndicatorSpec.groovy,A,4
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseDataExtractor.groovy,M,4
impl/src/main/java/org/dukecon/server/adapter/sched/SchedDataProviderHealthIndicator.groovy,M,4
impl/src/main/java/org/dukecon/server/business/MetaDataExtractor.groovy,A,4
impl/src/test/resources/javaland-2015.raw,R,4
impl/src/main/java/org/dukecon/server/service/PreferencesService.groovy,M,4
impl/src/test/java/org/dukecon/server/conference/adpater/doag/DoagJsonMapperSpec.groovy,M,4
impl/src/test/java/org/dukecon/server/business/MetaDataExtractorSpec.groovy,M,4
impl/src/main/resources/application-testdata.properties,M,4
impl/src/main/resources/db/migration/common/need-at-least-an-empty-file-here.txt,A,3
impl/src/test/java/org/dukecon/server/conference/adpater/doag/DoagDataExtractorSpec.groovy,R,3
impl/src/main/java/org/dukecon/server/service/ConferencesResource.groovy,M,3
impl/src/test/java/org/dukecon/server/favorite/FavoritesServiceSpec.groovy,M,3
impl/src/main/java/org/dukecon/server/core/CacheManifestFilter.groovy,M,3
impl/src/test/java/org/dukecon/server/gui/stage/WhenLoginPage.java,A,3
api/src/main/java/org/dukecon/model/TalkType.java,A,3
impl/src/main/webapp/tst.html,D,3
impl/src/test/java/org/dukecon/server/gui/KeycloakLoginTest.java,A,3
impl/src/test/java/org/dukecon/server/gui/AbstractPageIT.java,R,3
api/src/main/resources/raml/talks_example.json,D,3
impl/src/test/java/org/dukecon/server/business/PreferencesRepositorySpec.groovy,M,3
impl/src/main/java/org/dukecon/server/javaland/JavalandDataExtractor.groovy,R,3
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseLocationMapper.groovy,A,3
impl/src/test/java/org/dukecon/server/gui/KeycloakLoginIT.java,R,3
impl/src/main/java/org/dukecon/server/adapter/WebResourceDataProvider.groovy,M,3
impl/src/test/java/org/dukecon/server/conference/adpater/doag/SpeakerImageServiceTests.groovy,M,3
impl/src/main/java/org/dukecon/server/adapter/doag/DoagDataExtractor.groovy,A,3
impl/src/main/java/org/dukecon/server/favorites/PreferencesService.groovy,R,3
impl/src/main/java/org/dukecon/server/javaland/JavalandDataProvider.groovy,M,3
impl/src/main/resources/db/migration/postgresql/V1__init.sql,A,3
src/docs/asciidoc/dukecon-server-packages.svg,A,3
src/docs/asciidoc/index.adoc,A,3
api/src/main/resources/raml/meta_example.json,D,3
src/docs/asciidoc/images/level0-whitebox-architecture.puml,A,3
impl/src/main/java/org/dukecon/server/adapter/DataProviderLoader.groovy,A,3
impl/src/main/resources/application-postgresql.properties,A,3
impl/src/test/java/org/dukecon/server/conference/adpater/ConferencesConfigurationTests.groovy,M,3
impl/src/main/java/org/dukecon/server/filter/FiltersRepository.groovy,R,3
impl/src/main/webapp/public/versions/index.html,A,3
impl/src/main/java/org/dukecon/server/service/TalkService.java,D,3
impl/src/test/java/org/dukecon/server/favorite/FavoritesServiceSpec.groovy,R,3
impl/src/main/java/org/dukecon/server/core/CacheManifestFilter.groovy,R,3
api/src/main/resources/raml/meta_schema.json,D,3
impl/src/test/java/org/dukecon/server/business/MetaDataLookupSpec.groovy,A,3
impl/src/test/java/org/dukecon/server/gui/StartPageIT.java,R,3
api/src/main/resources/raml/talks_schema.json,D,3
impl/src/main/java/org/dukecon/server/adapter/WebResourceDataProviderRemote.groovy,A,3
impl/src/main/java/org/dukecon/server/service/KeycloakConfigService.groovy,A,3
impl/src/main/java/org/dukecon/server/conference/InitResource.groovy,M,3
impl/src/test/java/org/dukecon/server/conference/adpater/ConferencesConfigurationTests.groovy,A,3
