Author,CommitDate,ChangeType,ChangeCount
Falk Sippach,2016-01-15,A,1
Gerd Aschemann,2016-01-17,M,4
Gerd Aschemann,2016-01-17,A,1
Gerd Aschemann,2016-01-18,M,9
Alexander Schwartz,2016-01-19,M,2
Gerd Aschemann,2016-01-20,M,8
Alexander Schwartz,2016-01-21,M,6
Gerd Aschemann,2016-01-24,M,22
Gerd Aschemann,2016-01-24,A,2
steffchep,2016-01-28,M,1
Alexander Schwartz,2016-01-30,M,3
Alexander Schwartz,2016-02-16,M,5
Falk Sippach,2016-02-17,M,1
Alexander Schwartz,2016-02-18,M,5
Falk Sippach,2016-02-18,M,1
Alexander Schwartz,2016-02-19,M,7
Christofer Dutz,2016-02-27,M,1
Alexander Schwartz,2016-02-28,M,1
Alexander Schwartz,2016-03-05,M,9
Michal Harakal,2016-03-05,M,3
Alexander Schwartz,2016-03-05,D,2
Gerd Aschemann,2016-03-05,M,1
Falk Sippach,2016-03-05,M,1
Gerd Aschemann,2016-03-05,R,1
Falk Sippach,2016-03-06,M,3
Falk Sippach,2016-03-06,A,2
Gerd Aschemann,2016-03-07,M,9
Gerd Aschemann,2016-03-07,A,3
Christofer Dutz,2016-03-07,M,1
Stephanie Peters,2016-03-07,M,1
Alexander Schwartz,2016-03-08,M,9
Gerd Aschemann,2016-03-08,M,4
Alexander Schwartz,2016-03-08,A,1
Niko Köbler,2016-03-11,M,1
Alexander Schwartz,2016-03-13,M,1
Gerd Aschemann,2016-03-16,M,6
Gerd Aschemann,2016-03-17,M,6
DukeCon Jenkins,2016-03-17,M,1
annam002,2016-03-18,R,7
annam002,2016-03-18,M,3
Gerd Aschemann,2016-03-18,M,2
annam002,2016-03-18,A,1
Dirk Mahler,2016-03-24,A,3
Dirk Mahler,2016-03-24,M,1
Gerd Aschemann,2016-03-27,M,7
Gerd Aschemann,2016-03-27,A,3
annam002,2016-03-31,M,8
annam002,2016-03-31,R,7
annam002,2016-03-31,A,4
Gerd Aschemann,2016-05-09,M,24
Gerd Aschemann,2016-05-09,A,1
Gerd Aschemann,2016-05-10,A,82
Gerd Aschemann,2016-05-10,M,21
Gerd Aschemann,2016-05-10,R,15
Gerd Aschemann,2016-05-10,D,13
Gerd Aschemann,2016-06-25,M,4
Gerd Aschemann,2016-06-26,M,1
Alexander Schwartz,2016-07-07,M,7
Christofer Dutz,2016-08-02,A,4
Christofer Dutz,2016-08-02,M,3
Christofer Dutz,2016-08-05,M,15
Christofer Dutz,2016-08-05,A,3
Christofer Dutz,2016-08-11,M,10
Christofer Dutz,2016-08-12,M,13
Christofer Dutz,2016-08-12,A,5
Christofer Dutz,2016-08-12,D,1
Christofer Dutz,2016-08-14,M,2
Christofer Dutz,2016-08-22,M,3
Christofer Dutz,2016-08-24,A,14
Christofer Dutz,2016-08-24,M,6
Christofer Dutz,2016-08-24,R,4
Gerd Aschemann,2016-08-25,A,15
Christofer Dutz,2016-08-25,M,12
Gerd Aschemann,2016-08-25,M,12
Christofer Dutz,2016-08-25,R,12
Gerd Aschemann,2016-08-25,R,4
Falk Sippach,2016-08-25,M,3
Falk Sippach,2016-08-25,A,1
Christofer Dutz,2016-08-26,M,1
Christofer Dutz,2016-08-27,M,1
Falk Sippach,2016-09-08,A,8
Falk Sippach,2016-09-08,M,5
Christofer Dutz,2016-09-08,M,2
Falk Sippach,2016-09-12,A,25
Falk Sippach,2016-09-12,M,17
Christofer Dutz,2016-09-12,M,3
Falk Sippach,2016-09-12,D,2
Falk Sippach,2016-09-18,A,2
Falk Sippach,2016-09-18,M,1
Christofer Dutz,2016-09-30,M,6
Christofer Dutz,2016-09-30,A,4
Christofer Dutz,2016-10-04,A,2
Christofer Dutz,2016-10-04,M,2
Falk Sippach,2016-10-07,M,2
Christofer Dutz,2016-10-07,M,1
Gerd Aschemann,2016-10-14,M,1
Christofer Dutz,2016-10-16,M,15
Falk Sippach,2016-10-16,M,12
Falk Sippach,2016-10-16,A,7
Christofer Dutz,2016-10-16,A,5
Stephanie Peters,2016-10-16,M,1
Falk Sippach,2016-10-17,M,2
Gerd Aschemann,2016-10-17,M,1
Gerd Aschemann,2016-10-25,M,5
Gerd Aschemann,2016-10-25,A,1
stephaniep,2016-10-28,A,1
Gerd Aschemann,2016-11-07,A,4
Gerd Aschemann,2016-11-07,M,3
Falk Sippach,2016-11-08,M,24
Falk Sippach,2016-11-08,A,15
Falk Sippach,2016-11-08,R,10
Falk Sippach,2016-11-08,D,8
Gerd Aschemann,2016-11-09,M,23
Gerd Aschemann,2016-11-09,A,19
Gerd Aschemann,2016-11-09,R,10
Gerd Aschemann,2016-11-09,D,8
Falk Sippach,2016-12-09,M,13
Falk Sippach,2016-12-09,A,9
Falk Sippach,2016-12-09,R,1
Falk Sippach,2016-12-14,M,15
Falk Sippach,2016-12-14,A,1
Falk Sippach,2016-12-15,M,1
Falk Sippach,2016-12-18,M,2
Gerd Aschemann,2016-12-19,M,7
steffchep,2016-12-28,A,1
Falk Sippach,2016-12-28,D,1
Falk Sippach,2016-12-28,M,1
Falk Sippach,2016-12-28,R,1
Gerd Aschemann,2017-01-05,M,8
Falk Sippach,2017-01-10,A,5
Falk Sippach,2017-01-10,M,3
Falk Sippach,2017-01-11,M,23
Falk Sippach,2017-01-11,A,7
Falk Sippach,2017-01-12,M,14
Falk Sippach,2017-01-12,A,4
Falk Sippach,2017-01-12,D,4
Falk Sippach,2017-01-13,M,12
Falk Sippach,2017-01-15,M,17
Falk Sippach,2017-01-17,A,56
Falk Sippach,2017-01-17,M,9
Falk Sippach,2017-01-17,R,2
Falk Sippach,2017-01-20,M,12
Falk Sippach,2017-01-20,A,1
Christofer Dutz,2017-01-20,M,1
Falk Sippach,2017-01-23,A,1
Falk Sippach,2017-01-23,D,1
Falk Sippach,2017-01-23,M,1
Christofer Dutz,2017-01-24,M,2
Christofer Dutz,2017-01-24,A,1
Christofer Dutz,2017-01-24,D,1
Falk Sippach,2017-01-30,M,14
Christofer Dutz,2017-01-30,M,3
Falk Sippach,2017-02-10,M,3
Falk Sippach,2017-02-17,M,15
Christofer Dutz,2017-02-17,M,1
Christofer Dutz,2017-02-22,C,13
Christofer Dutz,2017-02-22,R,13
PitTorf,2017-02-25,M,2
Gerd Aschemann,2017-02-25,M,1
Falk Sippach,2017-02-26,M,2
Falk Sippach,2017-03-10,M,2
Falk Sippach,2017-03-14,M,3
Falk Sippach,2017-03-14,A,2
Gerd Aschemann,2017-03-15,M,1
Falk Sippach,2017-03-17,M,6
Falk Sippach,2017-03-18,M,2
Gerd Aschemann,2017-03-18,M,2
Falk Sippach,2017-03-20,M,41
Falk Sippach,2017-03-20,A,2
Falk Sippach,2017-03-21,M,3
Falk Sippach,2017-03-21,R,2
Falk Sippach,2017-03-21,A,1
Falk Sippach,2017-03-23,M,1
Dirk Mahler,2017-03-25,A,177
Dirk Mahler,2017-03-25,M,36
Dirk Mahler,2017-03-25,R,11
Dirk Mahler,2017-03-25,C,1
Dirk Mahler,2017-03-25,D,1
Dirk Mahler,2017-03-28,M,1
Dirk Mahler,2017-04-25,M,1
