Author,count(ModificationKind),ModificationKind,FileType
Niko Köbler,1,M,java
Stephanie Peters,1,M,java
Stephanie Peters,1,M,ftl
annam002,1,M,md
annam002,1,M,travis
steffchep,1,M,java
Falk Sippach,53,R,groovy
Gerd Aschemann,28,R,groovy
Christofer Dutz,18,R,jpg
Alexander Schwartz,14,R,groovy
annam002,14,R,groovy
Falk Sippach,11,R,java
Gerd Aschemann,8,R,json
Christofer Dutz,7,R,png
Dirk Mahler,7,R,groovy
Gerd Aschemann,6,R,java
Alexander Schwartz,4,R,java
Christofer Dutz,4,R,java
Dirk Mahler,4,R,java
Falk Sippach,4,R,raw
Niko Köbler,4,R,java
Falk Sippach,2,R,json
Gerd Aschemann,2,R,raml
Falk Sippach,1,R,sql
Falk Sippach,1,R,properties
Gerd Aschemann,1,R,properties
Gerd Aschemann,1,R,xml
Gerd Aschemann,1,R,sql
