Author,ChangeCount,FilePath
Alexander Schwartz,7,impl/src/main/resources/application.properties
Christofer Dutz,2,impl/src/main/resources/application.properties
"Aschemann, Gerd",1,impl/src/main/resources/application.properties
Dirk Mahler,1,impl/src/main/resources/application.properties
Niko Köbler,2,impl/src/main/resources/banner.txt
Gerd Aschemann,1,impl/src/main/resources/banner.txt
Falk Sippach,18,impl/src/main/resources/conferences.yml
PitTorf,2,impl/src/main/resources/conferences.yml
Gerd Aschemann,2,impl/src/main/resources/conferences.yml
Dirk Mahler,1,impl/src/main/resources/conferences.yml
Falk Sippach,4,impl/src/main/resources/demotalks.json
Alexander Schwartz,1,impl/src/main/resources/demotalks.json
Gerd Aschemann,1,impl/src/main/resources/demotalks.json
Niko Köbler,1,impl/src/main/resources/demotalks.json
Falk Sippach,3,impl/src/main/resources/herbstcampus_2016_veranstaltungen_20160826.csv
Alexander Schwartz,1,impl/src/main/resources/javaland-2015.raw
"Aschemann, Gerd",1,impl/src/main/resources/javaland-2015.raw
Gerd Aschemann,1,impl/src/main/resources/javaland-2015.raw
Falk Sippach,1,impl/src/main/resources/javaland-2016-final-finished-conf.raw
Dirk Mahler,1,impl/src/main/resources/javaland-2016-final-finished-conf.raw
Falk Sippach,6,impl/src/main/resources/javaland-2016-testdata.raw
Gerd Aschemann,2,impl/src/main/resources/javaland-2016-testdata.raw
Alexander Schwartz,1,impl/src/main/resources/javaland-2016-testdata.raw
Falk Sippach,4,impl/src/main/resources/javaland-2016.raw
Gerd Aschemann,3,impl/src/main/resources/javaland-2016.raw
Falk Sippach,3,impl/src/main/resources/javaland-2017.raw
Gerd Aschemann,2,impl/src/main/resources/javaland-2017.raw
Dirk Mahler,1,impl/src/main/resources/javaland-2017.raw
Falk Sippach,3,impl/src/main/resources/javaland-speaker-2016.raw
Dirk Mahler,1,impl/src/main/resources/javaland-speaker-2016.raw
Falk Sippach,2,impl/src/main/resources/javaland-speaker-2017.raw
Dirk Mahler,1,impl/src/main/resources/javaland-speaker-2017.raw
Dirk Mahler,1,impl/src/main/resources/jfs-2016-final-finished-conf.raw
Falk Sippach,1,impl/src/main/resources/jfs-2016-final-finished-conf.raw
Gerd Aschemann,4,impl/src/main/resources/logback.properties
Gerd Aschemann,5,impl/src/main/resources/logback.xml
Dirk Mahler,1,impl/src/main/resources/logback.xml
Falk Sippach,6,impl/src/main/resources/twitterhandles.csv
Gerd Aschemann,4,impl/src/main/resources/twitterhandles.csv
Dirk Mahler,1,impl/src/main/resources/twitterhandles.csv
Alexander Schwartz,1,impl/src/main/resources/twitterhandles.csv
Gerd Aschemann,2,impl/src/main/resources/versioneye.properties
Dirk Mahler,1,impl/src/main/resources/versioneye.properties
annam002,1,impl/src/main/resources/versioneye.properties
Gerd Aschemann,3,impl/src/main/webapp/tst.html
Dirk Mahler,1,impl/src/main/webapp/tst.html
Alexander Schwartz,4,impl/src/test/resources/arquillian-firefox.xml
Falk Sippach,1,impl/src/test/resources/arquillian-firefox.xml
Alexander Schwartz,4,impl/src/test/resources/arquillian-headless.xml
Gerd Aschemann,2,impl/src/test/resources/arquillian-headless.xml
Falk Sippach,1,impl/src/test/resources/arquillian-headless.xml
Gerd Aschemann,2,impl/src/test/resources/arquillian.xml
