Author,FileType,WordsByAuthorByFileType
Alexander Schwartz,jboss,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""]]"
Gerd Aschemann,java,"[[""MERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""],[""MERGE"",""FEATURE/BLAZEDS"",""SERVER"",""DEVELOP\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""NEVER"",""EVER"",""WRITE"",""DEBUGGING"",""MESSAGES"",""SYSTEM.OUT"",""USE"",""APPROPRIATE"",""LOGGING"",""INSTEAD"",""\n""],[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""],[""AVOID"",""MAPPING"",""TEST"",""SERVER"",""FIXED"",""PORT"",""...\n""],[""ADDED"",""KEYCLOAK"",""CONFIGURATION"",""SERVICE\n""],[""FIX:"",""AVOID"",""HTTP://JIRA.CODEHAUS.ORG/BROWSE/GRECLIPSE"",""1677"",""\n""],[""ADDED"",""UNAUTHORIZED"",""ACCESS"",""SERVICE"",""TESTING"",""PURPOSES\n""],[""ADDED"",""KEYCLOAK"",""AS"",""AUTH"",""PROVIDER"",""NEW"",""/REST/PREFERENCES"",""\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\n""],[""MERGE"",""AHUS1"",""AHUS1"",""GUITEST"",""DEVELOP\n""],[""BUGFIX"",""PREFERENCE"",""UPLOAD:"",""JERSEY"",""NEEDS"",""DEFAULT"",""CONSTRUCTOR\n""],[""ADDED"",""USER"",""PREFERENCES"",""PERSISTENCE"",""...\n""],[""MERGE"",""FEATURE/TWITTER"",""DEVELOP\n""],[""ADDED"",""HTML5"",""OVERLAY"",""CALL"",""REST"",""SERVICE\n""],[""FIX:"",""JAVALAND"",""NOW"",""HAS"",""THREE"",""DAYS"",""INCLUDING"",""COMMUNITY"",""PROGRAM"",""MONDAY"",""\n""],[""MERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG""],[""AVOID"",""DUPLICATES"",""TALKS"",""\n""],[""MAKE"",""ANNA"",""HAPPY:"",""RENAME"",""NOAUTHPREFERENCESSERVICE"",""CORRECT"",""NAME\n""]]"
Falk Sippach,raml,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""]]"
Falk Sippach,cmd,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,html,"[[""ADDED"",""HTML5"",""OVERLAY"",""CALL"",""REST"",""SERVICE\n""],[""ADDED"",""VERSIONS"",""INDEX\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""DROPPED"",""OLD"",""TEST"",""CONTENTS"",""WAR\n""]]"
DukeCon Jenkins,sh,"[[""ENABLE"",""ERROR"",""LOGGING"",""XVFB"",""RUN\n""]]"
Dirk Mahler,travis,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,sh,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,json,"[[""MERGE"",""MASTER"",""APIASMVN\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""],[""ADDED"",""JAVA"",""IMPLEMENTATION"",""HINTS"",""AVOID"",""UGLY"",""JSONXXX"",""CLASS"",""NAMES\n""],[""MOVED"",""RAML"",""FILES"",""MAVEN"",""RESOURCES"",""FOLDER\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Alexander Schwartz,adoc,"[[""MAKE"",""FIREFOX"",""GUI"",""TESTING"",""DEFAULT\n""],[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n""],[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""USING"",""XVFB"",""WRAPPER"",""HEADLESS"",""TESTING\n""],[""MOVE"",""TESTING"",""FIREFOX"",""ADDING"",""FIRST"",""KEYCLOAK"",""TEST\n""],[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""]]"
Falk Sippach,xml,"[[""MERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKER""],[""FIXED"",""DEPENDENCY"",""WARNINGS\n""],[""MERGE"",""REQUEST"",""16"",""DUKECON/METADATA\n\nMETADATA""],[""FIXED"",""HTML5"",""CLIENT"",""OVERLAY"",""NOT"",""WORKING"",""PROBLEMS"",""ACTUALLY"",""SPRING"",""BOOT"",""WEB"",""DEPENDENCIES"",""WAS"",""MISSED"",""SO"",""NO"",""STATIC"",""FILES"",""COULD"",""BE"",""SERVED"",""PUBLIC"",""DIRECTORY\n""],[""MERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATA""],[""MERGED\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""],[""TRIED"",""FIX"",""SELENIUM"",""FIREFOX"",""DRIVER"",""PROBLEMS\n""],[""FIX"",""MAVEN"",""BUILD"",""FAILURE"",""MISSING"",""SPRING"",""BOOT"",""MAVEN"",""PLUGIN\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""],[""DIVIDE"",""SPOCK"",""UNIT"",""INTEGRATION"",""TESTS\nADDED"",""SPOCK"",""UNIT"",""TEST\n""],[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""],[""JAX"",""RS"",""ANALYZER"",""PLUGIN"",""COMMENTED"",""OUT\n""],[""UPDATE"",""SPRING"",""BOOT"",""1.3.0"",""FINAL\n""],[""MERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE""],[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n""],[""FIXED"",""UNDECLARED"",""MAVEN"",""DEPENDENCY\n""],[""MERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID""],[""MERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING""],[""MERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATA""],[""BUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER\nCONFERENCE"",""METADATA"",""CROSSLINKED\nNEW"",""TESTDATA"",""COMMUNITY"",""EVENTS\n""],[""CALCULATING"",""PARTITION"",""EVENTS"",""CLOCK"",""SLICES"",""SERVER"",""SIDE"",""EVENT"",""SLICES"",""SLICEDEVENTS"",""AS"",""REST"",""SERVICE\n""],[""FIXED"",""MAVEN"",""DEPENDENCIES\n""],[""INITIAL"",""SPRING"",""BOOT"",""SETUP\n""],[""ADDED"",""EXTERNAL"",""CONFERENCE"",""CONFIGURATION\n""],[""UPDATED"",""SPRING"",""BOOT"",""1.3.0"",""RC1\n""],[""CALCULATED"",""NUMBEROFFAVOURITES\n""],[""JAX"",""RS"",""ANALYZER"",""MAVEN"",""PLUGIN"",""ACTIVATED"",""AGAIN"",""UPDATED\n""],[""MERGE"",""REQUEST"",""23"",""DUKECON/METADATA\n\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER"",""CONFERENCE"",""METADATA"",""CROSSLINKED"",""NEW"",""TESTDATA"",""COMMUNITY"",""EVENTS""],[""POM.XML"",""TIDIED"",""UP"",""INTELLIJ"",""IDEA"",""PROBLEM"",""SPRING"",""BOOT"",""TOMCAT"",""FIXED\n""],[""REFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\n""],[""MERGE"",""REQUEST"",""24"",""DUKECON/METADATA\n\nJAX"",""RS"",""ANALYZER"",""PLUGIN"",""COMMENTED"",""OUT""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\nCONFLICTS:\n\tIMPL/SRC/TEST/JAVA/ORG/DUKECON/INTEGRATION/DUKECONSERVERAPPLICATIONSPEC.GROOVY\n""],[""ADDED"",""SWAGGER2MARKUP\n""],[""H2"",""DATABASE"",""WEB"",""CONSOLE"",""INTEGRATED\n""],[""NEXT"",""FIX"",""DEPENDENCY"",""PROBLEMS\n""],[""FIXED"",""MERGE"",""CONFLICTS\n""],[""UNNECESSARY"",""DEPENDENCIES"",""COMMENTED"",""NOW\n""],[""ADDED"",""SPOCK"",""DEPENDENCY"",""FIRST"",""SPOCK"",""INTEGRATION"",""TEST\n""],[""REMOVED"",""SNAPSHOT"",""UND"",""MILESTONE"",""MVN"",""REPO\n""]]"
Gerd Aschemann,yml,"[[""SWITCH"",""OFFICIAL"",""DOAG"",""CONFERENCE"",""URL\n""],[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""]]"
Christofer Dutz,png,"[["""",""UPDATED"",""DIRECTORIES"",""EXTERNAL"",""IDS"",""ADDED"",""IMAGE"",""RESOURCES"",""JAVALAND"",""2017\n""],["""",""UPDATED"",""LANGUAGE"",""CONTAIN"",""WHAT"",""WAS"",""ID"",""PREVIOUSLY"",""NEW"",""FIELD"",""CODE"",""USE"",""NUMERIC"",""ID"",""NOW"",""ON.\n"",""UPDATED"",""RESOURCESERVICE"",""STRUCTURE"",""IMAGE"",""RESOURCES"",""DIFFERENTLY"",""SO"",""S"",""POSSIBLE"",""USE"",""DIFFERENT"",""IMAGES"",""EACH"",""CONFERENCE.\n""],["""",""IMPLEMENTED"",""FLEX"",""RESOURCESERVICE"",""THAT"",""LOADS"",""CACHES"",""IMAGE"",""RESOURCES"",""LOCATION"",""LANGUAGES"",""STREAMS\n"",""IMPLEMENTED"",""WORKING"",""JAVA"",""RESOURCESERVICE"",""WHICH"",""PROVIDES"",""IMAGE"",""RESOURCES"",""BY"",""SCANNING"",""WAR"",""CONTENT\n"",""ADDED"",""IMAGE"",""RESOURCES"",""STREAMS"",""LANGUAGES.\n\nTHE"",""SERVER"",""SIDE"",""INTERMEDIATE"",""SOLUTION"",""UNTIL"",""GENERIC"",""WAY"",""HANDLE"",""PERSISTENCE"",""IMAGE"",""DATA"",""STORED"",""DB"",""WHATSOEVER"",""\n""],["""",""MADE"",""RESOURCESERVICE"",""RETURN"",""MAP"",""CONFERENCE"",""LOGOS\n"",""ADDED"",""CONFERENCE"",""LOGO"",""RESOURCE"",""MAP"",""CONFERENCE\n""]]"
Christofer Dutz,groovy,"[["""",""EXTENDED"",""PREFERENCES"",""SERVICE"",""BY"",""METHODS"",""ADD"",""DELETE"",""ELEMENTS.\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""\n""],["""",""CHANGED"",""CONFERENCE"",""NUMERIC"",""ID\n"",""CHANGED"",""SPEAKER"",""IMPORT"",""INITIALIZE"",""EMAIL"",""FIELD"",""GENERATE"",""NUMERIC"",""ID"",""INSTEAD"",""STRING"",""ONE.\n""],["""",""ADDED"",""SUPPORT"",""SCHED"",""CONFERENCES\n""],["""",""UPDATED"",""HEALTH"",""INDICATOR\n"",""CLEANED"",""UP"",""AUTHOR"",""TAGS\n""],["""",""UPDATED"",""LANGUAGE"",""CONTAIN"",""WHAT"",""WAS"",""ID"",""PREVIOUSLY"",""NEW"",""FIELD"",""CODE"",""USE"",""NUMERIC"",""ID"",""NOW"",""ON.\n"",""UPDATED"",""RESOURCESERVICE"",""STRUCTURE"",""IMAGE"",""RESOURCES"",""DIFFERENTLY"",""SO"",""S"",""POSSIBLE"",""USE"",""DIFFERENT"",""IMAGES"",""EACH"",""CONFERENCE.\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tIMPL/SRC/MAIN/JAVA/ORG/DUKECON/SERVER/SERVICE/ABSTRACTPREFERENCESSERVICE.GROOVY\n""],["""",""REFACTORING"",""ONE"",""TESTS"",""DURING"",""SESSION"",""AT"",""APACHECON"",""GOOVY"",""TESTING"",""\n""],["""",""MAJOR"",""REFACTORING\n""],["""",""ADDED"",""CRUDSERVICE"",""INTERFACHE\n"",""ADDED"",""INITIAL"",""CONFERENCESERVICE"",""INTERFACE\n"",""ADDED"",""INITIAL"",""CONFERENCESERVICEIMPL\n"",""ADDED"",""INITIAL"",""SUPPORT"",""BLAZEDS\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/DEVELOP"",""DEVELOP\n""],["""",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n""],["""",""MADE"",""CONFERENCESERVICEIMPL"",""SAFE"",""NULLPOINTEREXCEPTIONS\n"",""MADE"",""RESOURCESERVICE"",""USE"",""SPEAKERIMAGESERVICE"",""PROVIDING"",""SPEAKER"",""IMAGES\n""],["""",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\n""],["""",""MADE"",""SCHED"",""ADAPTER"",""LOG"",""CONFERENCES"",""READY"",""SERVER"",""WHEN"",""INITIALIZING.\n""],["""",""REFACTORED"",""MODEL"",""AGAIN"",""...\n""],["""",""REFACTORED"",""PUT"",""DELETE"",""METHOD"",""ADDING"",""REMOVING"",""SINGLE"",""PREFERENCES\n""]]"
annam002,properties,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
Gerd Aschemann,gitignore,"[[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""],[""IGNORE"",""BACKUP"",""DATA"",""LOCAL"",""RUNS\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""MERGE"",""FEATURE/BLAZEDS"",""SERVER"",""DEVELOP\n""],[""ADDED"",""LOGGING"",""...\n""],[""MERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""],[""MERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG""],[""ADD"",""GENERIC"",""ARCHITECTURE"",""DOCUMENTATION\n""],[""IGNORE"",""ECLIPSE"",""ARTIFACTS\n""],[""MERGE"",""MASTER"",""APIASMVN\n""],[""CLEANED"",""UP"",""GIT"",""IGNORE"",""LIST\n""]]"
Niko Köbler,jpg,"[[""REVERT"",""LOGO/ICON"",""\n\nTHIS"",""REVERTS"",""COMMIT"",""5EE929FB0FA279A2F8ECA6DE67F52E2BA70C26A3.\n""],[""LOGO/ICON"",""\n""]]"
Alexander Schwartz,xml,"[[""ADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\n""],[""MERGE"",""FIX"",""GUITEST"",""COOKIEPOPUP"",""DEVELOP\n""],[""MERGE"",""FIX"",""GUI"",""TALKCELL"",""DEVELOP\n""],[""UPDATED"",""KEYCLOAK"",""VERSION"",""MATCHING"",""SERVER\n""],[""MAKE"",""FIREFOX"",""GUI"",""TESTING"",""DEFAULT\n""],[""MERGE"",""SELENIUM"",""TESTS"",""FAIL"",""WITH"",""NEW"",""FIREFOX"",""DEVELOP\n""],[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""MOVE"",""TESTING"",""FIREFOX"",""ADDING"",""FIRST"",""KEYCLOAK"",""TEST\n""],[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""],[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n""],[""UPDATE"",""FIREFOX"",""DRIVER"",""2.53.1"",""CLEAN"",""PHANTOMJS"",""SELENIUM"",""TESTS"",""CLOSES"",""42\n""],[""USING"",""XVFB"",""WRAPPER"",""HEADLESS"",""TESTING\n""],[""ADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE\n""]]"
Dirk Mahler,svg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,png,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Gerd Aschemann,csv,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""ADDED"",""TWITTER"",""HANDLES\n""],[""MERGE"",""DEVELOP"",""FEATURE/TWITTER\n""]]"
Gerd Aschemann,txt,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""],[""ADDED"",""SERVER"",""VERSION.TXT"",""GIT"",""DATA\n""],[""STARTED"",""POSTGRESQL"",""DEVELOPMENT\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
steffchep,properties,"[[""ADD"",""STYLE"",""PROPERTIES"",""JL2017\n""]]"
Dirk Mahler,puml,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
"Aschemann, Gerd",groovy,"[[""READ"",""LOCAL"",""RAW"",""JSON"",""FILE"",""BY"",""DEFAULT\n""]]"
Falk Sippach,travis,"[[""MERGE"",""REQUEST"",""31"",""AHUS1/AHUS1"",""SPEEDUPBUILD\n\nCACHE"",""MAVEN"",""DIRECTORY"",""SPEED"",""UP"",""BUILD""],[""FIX"",""TRAVIS"",""CI\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,,"[[""MAKE"",""MAVEN"",""WRAPPER"",""EXECUTABLE"",""\n""],[""MERGE"",""REQUEST"",""33"",""AHUS1/DEVELOP\n\nADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA""],[""LOCALLY"",""FIXED"",""TAKARI/MAVEN"",""WRAPPER/"",""18\n\n"",""SET"",""SYMLINK"",""CURRENTJDK"",""/LIBRARY/JAVA/JAVAVIRTUALMACHINES"",""AS"",""WELL"",""\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Niko Köbler,java,"[[""MOVED"",""MODEL"",""CLASSES"",""API"",""PACKAGE"",""INTRODUCE"",""PARENT"",""POM"",""STRUCTURE"",""GENERATE"",""SWAGGER.JSON"",""FILE"",""API"",""MODULE"",""TARGET"",""FOLDER\n""],[""PING"",""METHOD"",""LAST"",""UPDATED"",""STRING"",""YET"",""MOCKED"",""\n""],[""ADD"",""CONSTRUCTORS"",""JSON"",""MAPPING"",""USAGE\n""],[""HAVE"",""TALKPROVIDER"",""DELIVERING"",""TALKS"",""DEMO"",""TALKS"",""NOW"",""LOADED"",""STATIC"",""FILE\n""],[""ADD"",""TALKSERVICE"",""STUB\n""],[""RENAME"",""FIELD"",""TALK"",""ABSTRACT\n""]]"
Alexander Schwartz,raw_community,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Alexander Schwartz,travis,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n""],[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""MOVE"",""TESTING"",""FIREFOX"",""ADDING"",""FIRST"",""KEYCLOAK"",""TEST\n""],[""CACHE"",""MAVEN"",""DIRECTORY"",""SPEED"",""UP"",""BUILD\n""],[""FORCE"",""LATEST"",""DEPENDENCIES"",""TRAVIS"",""OTHERWISE"",""HTML5"",""CLIENT"",""WILL"",""ONLY"",""BE"",""DOWNLOADED"",""ONCE"",""DAY"",""\n""],[""MAKE"",""FIREFOX"",""GUI"",""TESTING"",""DEFAULT\n""]]"
Gerd Aschemann,cmd,"[[""MERGE"",""REQUEST"",""33"",""AHUS1/DEVELOP\n\nADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
annam002,md,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
annam002,java,"[[""MAKE"",""METASERVICE"",""WORK"",""OTHER"",""CONFERENCES"",""AS"",""WELL\n""],[""CREATE"",""INTERFACE"",""PROVIDING"",""CONFERENCE"",""DATA\n""],[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
Niko Köbler,md,"[[""INITIAL"",""BASIC"",""TRAVIS"",""FILE\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""GERD"",""ASCHEMANN\n"",""VIA"",""GERD"",""ASCHEMANN\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""UPDATE"",""README.MD\n"",""ADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\n"",""MAKE"",""VERSIONEYE"",""HAPPY\n""],[""TRANSLATED"",""ENGLISH"",""BE"",""CONSISTEND"",""OTHER"",""DOCUMENTATION\n""]]"
Gerd Aschemann,raw,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""],[""RAW"",""DATA"",""AS"",""2015"",""09"",""24"",""08H57\n""],[""SWITCH"",""JAVALAND"",""2017\n""],[""RAW"",""DATA"",""AS"",""2015"",""09"",""24"",""08H39\n""],[""CURRENT"",""TEST"",""DATA"",""ADDED\n""],[""LATEST"",""RAW"",""DATA\n""]]"
