Author,FileType,WordsByAuthorByFileType
Falk Sippach,gitignore,"[[""GITIGNORE"",""ADDED\n""],[""ACCESS"",""CONFERENCES"",""REST"",""SERVICE"",""ADDITIONALLY"",""REST/CONFERENCES/ID.JSON\n""],[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""],[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\n""],[""LAST"",""INPUT"",""JSON"",""FILE"",""VERSION"",""FINISHED"",""JAVALAND"",""2016"",""JFS"",""2016\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""],[""OVERLAY"",""DIRECTORY"",""IGNORED\n""],[""ADDED"",""SWAGGER2MARKUP\n""]]"
Niko Köbler,travis,"[[""INITIAL"",""BASIC"",""TRAVIS"",""FILE\n""]]"
Dirk Mahler,raw,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,yml,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Alexander Schwartz,gitignore,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""],[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""],[""ADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\n""]]"
Dirk Mahler,adoc,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""],["""",""ADDED"",""BASIC"",""JQA"",""RULES"",""VISUALIZING"",""SPRING"",""COMPONENTS"",""DEPENDENCIES\n""]]"
Falk Sippach,,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,properties,"[[""SWITCH"",""KEYCLOAK"",""URL"",""PRODUCTION\n""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""ADDED"",""KEYCLOAK"",""AS"",""AUTH"",""PROVIDER"",""NEW"",""/REST/PREFERENCES"",""\n""],[""PREPARE"",""RELEASE"",""CANDIDATE"",""\n""],[""MERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\n""],[""ADDED"",""KEYCLOAK"",""REDIRECTURI\n""],[""MOVED"",""CACHING"",""LOCATION"",""DOCKER"",""PROFILE\n""],[""NORMALIZED"",""ALL"",""SERVER.CONTEXTPATH"",""CONFERENCE.URL"",""DATA\n""],[""ADDED"",""USER"",""PREFERENCES"",""PERSISTENCE"",""...\n""],[""STARTED"",""TESTING"",""PHASE\n""],[""MOVED"",""KEYCLOAK"",""UNIQUE"",""DOMAIN\n""],[""DEFAULT"",""PG"",""HOST"",""POSTGRES"","">"",""ADD"",""LOCAL"",""PROFLE\n""],[""MERGE"",""RELEASE/1.1"",""DEVELOP\n""],[""ENABLE"",""COMPRESSION\n""],[""REVERT"",""FIX:"",""LOG"",""$LOG"",""PATH"",""INSTEAD"",""RELATIVE"",""LOGS"","""",""THIS"",""DOES"",""NOT"",""SEEM"",""WORK"",""...\n\nTHIS"",""REVERTS"",""COMMIT"",""F00D0D85A7D925B8619BF6D9360BCEC06BAFD044.\n""],[""ADDED"",""VERSIONEYE"",""PROJECT"",""ID\n""],[""PREPARED"",""PRODUCTION\n""],[""ADDED"",""TESTDATA"",""SPRING"",""PROFILE\n""],[""MERGE"",""REQUEST"",""34"",""AHUS1/DEVELOP\n\nADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE""],[""STARTED"",""POSTGRESQL"",""DEVELOPMENT\n""],[""NO"",""SECRET"",""NECESSARY\n""],[""FIX:"",""ADDED"",""CACHING"",""LOCATION\n""],[""ADDED"",""/TESTING"",""KEYCLOAK\n""],[""MOVED"",""IMPLEMENTATION"",""MODULE"",""SUB"",""FOLDER\n""],[""ADDED"",""LOGGING"",""...\n""],[""REPLACED"",""POSTGRESQL"",""PARAMETERS"",""BY"",""PLACEHOLDERS"",""MAKE"",""CONFIGURATION"",""EASIER\n""],[""ADDED"",""PRODUCTION"",""KEYCLOAK"",""PARAMS\n""],[""RUN"",""/DEVELOP"",""AS"",""DEFAULT"",""CONTEXTPATH\n""],[""SWITCH"",""JAVALAND"",""2017\n""],[""KEYCLOAK"",""SWITCHED"",""HTTPS\n""],[""ADDED"",""UNAUTHORIZED"",""ACCESS"",""SERVICE"",""TESTING"",""PURPOSES\n""],[""ADDED"",""RELEASE"",""KEYCLOAK\n""],[""DROPPED"",""SCHED/"",""DIRECTORY\n""],[""ADDED"",""CONTEXT"",""PATH"",""LATEST"",""INTEGRATION\n""],[""FIX:"",""PRODUCTION"",""NOW"",""USES"",""HTTPS"",""\n""],[""FIX:"",""LOG"",""$LOG"",""PATH"",""INSTEAD"",""RELATIVE"",""LOGS"",""\n""],[""SWITCHED"",""REAL"",""JAVALAND"",""2016"",""REST"",""URL\n""],[""TESTDATA"",""ALSO"",""USES"",""LATEST/"",""KEYCLOAK\n""],[""ADDED"",""SECURITY"",""HINT\n""]]"
Alexander Schwartz,sh,"[[""FIXING"",""SHEBANG"",""LINE\n""],[""SHOW"",""ALL"",""ENVIRONMENT"",""VARIABLES\n""],[""USING"",""XVFB"",""WRAPPER"",""HEADLESS"",""TESTING\n""],[""MERGE"",""FIX"",""GUI"",""TALKCELL"",""DEVELOP\n""],[""USE"",""JAVA"",""VERSION"",""PROVIDED"",""BY"",""JAVA"",""HOME\n"",""CHERRY"",""PICKED"",""COMMIT"",""1615B16"",""\n""],[""AVOID"",""MISLEADING"",""WARNING"",""MESSAGES"",""WHEN"",""STARTING"",""FIREFOX\n""]]"
Christofer Dutz,xml,"[[""FIXED"",""BUILD"",""ERRORS"",""REPORTED"",""BY"",""DEPENDECY"",""CHECKER"",""PLUGIN\n""],["""",""REMOVED"",""DUPLICATE"",""OVERLAY\n""],["""",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\n""],["""",""INCREASED"",""BLAZEDS"",""SECURITY"",""SETTINGS"",""BY"",""WHITELISTING"",""CLASSES"",""AVAILABLE"",""DESERIALIZATION\n""],["""",""UPDATED"",""VERSIONEYE"",""PLUGIN"",""3.10.2"",""HOPEFULLY"",""GET"",""RID"",""ERRORS"",""JENKINS"",""BUILD\n"",""JAVAX.NET.SSL.SSLEXCEPTION:"",""CERTIFICATE"",""<WWW.VERSIONEYE.COM>"",""DOESN"",""T"",""MATCH"",""ANY"",""SUBJECT"",""ALTERNATIVE"",""NAMES:"",""[SENGAA.VERSIONEYE.COM]"",""\n""],["""",""ADDED"",""CRUDSERVICE"",""INTERFACHE\n"",""ADDED"",""INITIAL"",""CONFERENCESERVICE"",""INTERFACE\n"",""ADDED"",""INITIAL"",""CONFERENCESERVICEIMPL\n"",""ADDED"",""INITIAL"",""SUPPORT"",""BLAZEDS\n""],["""",""TRIED"",""GET"",""RID"",""NASTY"",""WARNINGS"",""BUILD.\n""],["""",""GET"",""UNIT"",""TESTS"",""WORKING"",""BLYZEDS\n""],["""",""MAJOR"",""REFACTORING\n""],["""",""IMPLEMENTED"",""FLEX"",""RESOURCESERVICE"",""THAT"",""LOADS"",""CACHES"",""IMAGE"",""RESOURCES"",""LOCATION"",""LANGUAGES"",""STREAMS\n"",""IMPLEMENTED"",""WORKING"",""JAVA"",""RESOURCESERVICE"",""WHICH"",""PROVIDES"",""IMAGE"",""RESOURCES"",""BY"",""SCANNING"",""WAR"",""CONTENT\n"",""ADDED"",""IMAGE"",""RESOURCES"",""STREAMS"",""LANGUAGES.\n\nTHE"",""SERVER"",""SIDE"",""INTERMEDIATE"",""SOLUTION"",""UNTIL"",""GENERIC"",""WAY"",""HANDLE"",""PERSISTENCE"",""IMAGE"",""DATA"",""STORED"",""DB"",""WHATSOEVER"",""\n""],[""ADDED"",""CONFIG"",""NEEDED"",""EMBED"",""FLEX"",""CLIENT"",""WAR"",""COMMENTED"",""\n""],[""FIXED"",""DOC"",""GENERATION.\n"",""SWAGGER"",""GENERATES"",""CODE"",""BASED"",""COMPILED"",""CLASSES"",""THEREFORE"",""NEED"",""EXECUTE"",""AFTER"",""COMPILE.\n""],["""",""DEACTIVATED"",""VERSIONEYE"",""MAVEN"",""PLUGIN"",""NOW"",""AS"",""SEEM"",""BE"",""ISSUES"",""PLUGIN\n""],["""",""ADDED"",""FIRST"",""VERSION"",""RESOURCESERVICE"",""WHICH"",""WILL"",""RETURN"",""IMAGE"",""RESOURCES"",""NEEDED"",""BY"",""FLEX"",""CLIENT.\n"",""CHANGED"",""BUILD"",""CONFIG"",""USE"",""WAR"",""OVERLAYS"",""INSTEAD"",""DEPENDENCY"",""PLUGIN"",""EMBEDDING"",""HTML"",""CLIENT\n"",""ADDED"",""FAILSAFE"",""CONFIGRUATION"",""RUN"",""INTEGRATION"",""TEST"",""PHASE"",""MOVED"",""GUI"",""TESTS"",""BEING"",""INTEGRATION"",""TESTS"",""BY"",""RENAMING"",""THEM"",""XYZTEST"",""XYZIT\n""],["""",""COMMENTED"",""PROPERTY"",""ACTIVEMQ.VERSION"",""AS"",""THIS"",""SEEMS"",""CAUSED"",""PROBLEMS"",""DEPENDENCY"",""CONVERGENCE"",""REPORT.\n""],["""",""SWITCHED"",""TRACE"",""LOGGING"",""FLEX"",""LOGGING"",""FRAMEWORK.\n""],["""",""COMMENTED"",""VERSIONEYE"",""PLUGIN"",""DEFINITION\n""],["""",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n""]]"
